player,runs,balls_faced,fours,sixes,average,strike_rate
Shoaib Malik,646,592,46,25,109.12,109.12
KA Pollard,617,539,38,31,114.47,114.47
DA Miller,615,558,34,28,110.22,110.22
NT Broom,608,683,53,8,89.02,89.02
JDS Neesham,593,635,62,6,93.39,93.39
AE Satterthwaite,591,609,55,2,97.04,97.04
G Gambhir,583,496,70,8,117.54,117.54
F du Plessis,581,674,51,8,86.2,86.2
N Rana,573,466,45,27,122.96,122.96
KK Nair,570,507,65,14,112.43,112.43
SA Yadav,540,429,58,16,125.87,125.87
Mahmudullah,538,591,45,10,91.03,91.03
Ishan Kishan,515,364,49,28,141.48,141.48
SP Narine,511,346,62,28,147.69,147.69
Mandeep Singh,507,421,48,15,120.43,120.43
BL Mooney,501,482,58,3,103.94,103.94
MM Lanning,501,540,63,2,92.78,92.78
RA Tripathi,490,360,51,19,136.11,136.11
C de Grandhomme,490,381,25,31,128.61,128.61
SW Billings,482,442,50,11,109.05,109.05
Fakhar Zaman,481,421,55,11,114.25,114.25
PA Patel,468,362,58,10,129.28,129.28
Mushfiqur Rahim,459,537,38,5,85.47,85.47
MC Henriques,457,345,42,11,132.46,132.46
BB McCullum,447,318,45,24,140.57,140.57
Sabbir Rahman,444,469,44,12,94.67,94.67
MM Ali,438,323,40,17,135.6,135.6
KH Pandya,432,315,44,15,137.14,137.14
Soumya Sarkar,423,377,48,11,112.2,112.2
SD Hope,403,568,31,6,70.95,70.95
Sharjeel Khan,401,360,51,12,111.39,111.39
N Dickwella,400,436,40,4,91.74,91.74
SR Watson,399,292,32,22,136.64,136.64
MN Samuels,396,505,29,11,78.42,78.42
JP Duminy,392,443,26,11,88.49,88.49
Ahmed Shehzad,379,339,39,6,111.8,111.8
AR Patel,378,303,18,18,124.75,124.75
CH Morris,376,308,37,11,122.08,122.08
MP Stoinis,375,335,26,18,111.94,111.94
D van Niekerk,375,340,51,7,110.29,110.29
Azhar Ali,375,518,30,4,72.39,72.39
Sarfraz Ahmed,374,383,29,3,97.65,97.65
CJ Anderson,369,362,20,22,101.93,101.93
Imrul Kayes,365,463,39,6,78.83,78.83
KJ Martin,358,413,36,0,86.68,86.68
EA Perry,354,424,31,3,83.49,83.49
L Lee,345,274,41,14,125.91,125.91
TT Beaumont,343,301,45,7,113.95,113.95
JO Holder,342,319,23,11,107.21,107.21
MJ Santner,339,394,28,8,86.04,86.04
