venue,season,team1,team2,team1_runs,team2_runs,team1_wickets,team2_wickets,team1_strike_rate,team2_strike_rate,team1_boundaries,team2_boundaries,team1_powerplay_runs,team2_powerplay_runs,team1_death_runs,team2_death_runs,total_runs,run_difference,team1_won,winner
Brabourne Stadium,2017/18,England,India,107,108,10,2,93.04347826086956,104.85436893203884,12,13,51,40,4,0,215,1,0,India
Brabourne Stadium,2017/18,Australia,England,209,152,4,9,169.9186991869919,122.58064516129032,37,15,52,48,38,12,361,57,1,Australia
"R.Premadasa Stadium, Khettarama",2017/18,India,Sri Lanka,174,175,5,5,139.2,148.3050847457627,20,21,35,72,24,21,349,1,0,Sri Lanka
"R.Premadasa Stadium, Khettarama",2017/18,Bangladesh,India,139,140,8,4,104.51127819548873,122.80701754385966,15,16,43,46,16,14,279,1,0,India
"R.Premadasa Stadium, Khettarama",2017/18,Sri Lanka,Bangladesh,214,215,6,5,167.1875,173.38709677419354,27,28,61,70,35,26,429,1,0,Bangladesh
"R.Premadasa Stadium, Khettarama",2017/18,Sri Lanka,India,152,153,9,4,125.6198347107438,140.36697247706422,15,17,51,44,14,9,305,1,0,India
"R.Premadasa Stadium, Khettarama",2017/18,India,Bangladesh,176,159,3,6,144.2622950819672,126.19047619047619,23,21,48,47,35,29,335,17,1,India
"R.Premadasa Stadium, Khettarama",2017/18,Sri Lanka,Bangladesh,159,160,7,8,127.2,129.03225806451613,17,16,29,49,30,29,319,1,0,Bangladesh
"R.Premadasa Stadium, Khettarama",2017/18,Bangladesh,India,166,168,8,6,133.8709677419355,137.70491803278688,19,22,36,56,31,34,334,2,0,India
Bay Oval,2017/18,New Zealand,West Indies,167,159,6,6,135.77235772357724,132.5,23,21,47,42,13,25,326,8,1,New Zealand
Bay Oval,2017/18,New Zealand,West Indies,185,79,3,8,148.0,64.22764227642277,28,6,50,32,23,6,264,106,1,New Zealand
Pukekura Park,2017/18,New Zealand,West Indies,134,133,7,7,109.8360655737705,107.25806451612902,13,12,50,38,21,17,267,1,1,New Zealand
Seddon Park,2017/18,West Indies,New Zealand,139,143,5,3,113.9344262295082,134.9056603773585,20,19,54,47,16,0,282,4,0,New Zealand
Sinhalese Sports Club Ground,2017/18,Sri Lanka,Pakistan,124,133,6,9,100.8130081300813,108.130081300813,12,16,28,37,21,11,257,9,0,Pakistan
Nondescripts Cricket Club Ground,2017/18,Pakistan,Sri Lanka,72,73,10,3,61.53846153846154,81.11111111111111,3,7,27,34,3,0,145,1,0,Sri Lanka
National Stadium,2018,Pakistan,West Indies,203,60,5,9,163.70967741935485,70.58823529411765,26,8,54,21,43,0,263,143,1,Pakistan
National Stadium,2018,Pakistan,West Indies,205,123,3,10,168.0327868852459,105.12820512820514,29,17,54,30,32,16,328,82,1,Pakistan
National Stadium,2018,West Indies,Pakistan,153,154,6,2,126.44628099173553,149.51456310679612,20,20,27,62,43,0,307,1,0,Pakistan
